기준일자,전시ID,전시명,일일유료,일일무료,일일총인원,일일금액,누계유료,누계무료,누계총인원,누계금액,점유율
20240926,240810_01,댕댕이의 하루,10,1,11,40000,588,79,667,2352000,58.8
20240927,240712_01,앙리 마티스 LOVE & JAZZ,10,5,15,50000,4024,199,4223,22474000,112.4
20240927,240810_01,댕댕이의 하루,48,3,51,192000,636,82,718,2544000,63.6
20240928,240712_01,앙리 마티스 LOVE & JAZZ,49,14,63,285000,4073,213,4286,22759000,113.8
20240928,240810_01,댕댕이의 하루,67,2,69,268000,703,84,787,2812000,70.3
20240929,240712_01,앙리 마티스 LOVE & JAZZ,45,0,45,231000,4118,213,4331,22990000,115
20240929,240810_01,댕댕이의 하루,55,2,57,220000,758,86,844,3032000,75.8
20241001,240712_01,앙리 마티스 LOVE & JAZZ,51,1,52,281000,4169,214,4383,23271000,116.4
20241002,240712_01,앙리 마티스 LOVE & JAZZ,22,0,22,120000,4191,214,4405,23391000,117
20241003,240712_01,앙리 마티스 LOVE & JAZZ,97,0,97,563000,4288,214,4502,23954000,119.8
20241004,240712_01,앙리 마티스 LOVE & JAZZ,54,0,54,292000,4342,214,4556,24246000,121.2
20241004,241004_01,5기 입주작가전_김용원,26,5,31,52000,26,5,31,52000,1.7
20241005,240712_01,앙리 마티스 LOVE & JAZZ,34,3,37,184000,4376,217,4593,24430000,122.2
20241005,241004_01,5기 입주작가전_김용원,14,17,31,28000,40,22,62,80000,2.6
20241006,240712_01,앙리 마티스 LOVE & JAZZ,66,0,66,374000,4442,217,4659,24804000,124
20241006,241004_01,5기 입주작가전_김용원,17,3,20,34000,57,25,82,114000,3.8
20241008,240712_01,앙리 마티스 LOVE & JAZZ,7,3,10,35000,4449,220,4669,24839000,124.2
20241008,241004_01,5기 입주작가전_김용원,10,6,16,20000,67,31,98,134000,4.4
20241009,240712_01,앙리 마티스 LOVE & JAZZ,63,0,63,337000,4512,220,4732,25176000,125.9
