순번,구분,기관명,주소,우편번호
217,광양_어린이집,피노키오유아스쿨어린이집,전라남도 광양시 광양읍 와룡길 9-5,
218,광양_어린이집,하늘꿈어린이집,"전라남도 광양시 중마로 210 (중동, 남양파크 관리동 1층)",
219,광양_어린이집,한빛어린이집,전라남도 광양시 광양읍 은장도길 15-6,
220,광양_어린이집,한아름어린이집,"전라남도 광양시 광장로 84 305동 101호(중동, 성호3차아파트)",
221,광양_어린이집,한올유아스쿨어린이집,전라남도 광양시 광양읍 서평2길 19,
222,광양_어린이집,해맑은어린이집,전라남도 광양시 느지매기길 15-29,
223,광양_어린이집,해오름어린이집,전라남도 광양시 진등1길 33 (중동),
224,광양_어린이집,해처럼어린이집,전라남도 광양시 나룻2길 15 (광영동),
225,광양_어린이집,해피아이어린이집,전라남도 광양시 광영로 141 109동 102호(현대아파트),
226,광양_어린이집,햇빛어린이집,전라남도 광양시 광장로 26 (중동),
227,광양_어린이집,햇살어린이집,전라남도 광양시 광장로 70 212동 109호,
228,광양_어린이집,호반어린이집,전라남도 광양시 공영로 39 호반리젠시빌아파트 단지내 (중동),
229,광양_어린이집,희망찬특수어린이집,전라남도 광양시 광양읍 유당로 228,
230,여수_어린이집,여수사임당어린이집,전남광주 여수시 관문서2길 9-1,
231,여수_어린이집,참솔어린이집,"전남광주 여수시 쌍봉로 316 110동 102호(둔덕동, 한려주공)",
232,여수_어린이집,EQIQ어린이집,전남광주 여수시 문수7길 24 (문수동),
233,여수_어린이집,동화나라어린이집,전남광주 여수시 양지2길 9 동화나라어린이집,
234,여수_어린이집,찬양어린이집,전남광주 여수시 미평남4길 11-2 (미평동),
235,여수_어린이집,미지어린이집,전남광주 여수시 신기북3길 43-14,
236,여수_어린이집,시전사임당어린이집,"전남광주 여수시 여천체육공원길 23 102동 106호(시전동, 우미)",
237,여수_어린이집,초코어린이집,"전남광주 여수시 선소로 72-13 301동 104호(신기동, 부영아파트)",
238,여수_어린이집,꿈많은어린이집,전남광주 여수시 장성3길 44 (안산동),
