uid	번호	구분	공연장	티켓오픈	제목	모수	연령_20세 미만	연령_20~29세	연령_30~39세	연령_40~49세	연령_50~59세	연령_60~69세	연령_70세 이상	거주_여수	거주_순천	거주_광양	거주_호남	거주_광주	거주_호남외지역
1050	1036	대관	대극장	2023.11.23 01시	환경음악제(자연과 인간의 공존) 지리산 사계	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1049	1035	대관	대극장	2023.11.22 01시	여수영재교육원 오케스트라 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1048	1034	공동기획	대극장	2023.11.23 01시	홍진호&박현수&조윤성의 <시네마 파라디소>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1047	1033	공동기획	대극장	2023.11.23 01시	대니 구 크리스마스 콘서트 : HOME	1	0	0	100	0	0	0	0	100	0	0	0	0	0
1046	1032	대관	대극장	2023.11.15 01시	2023년 여수시립예술단 송년음악회 섬섬여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1045	1031	대관	소극장	2023.11.14 01시	제8회 2023 여수에코국제음악제_아티스트 시리즈 Ⅱ	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1044	1030	대관	소극장	2023.11.08 01시	클래식 기타 듀오 폴리포니 갈라콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1043	1029	대관	대극장	2023.11.08 01시	제20회 여수 YWCA 혼성합창단 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1042	1028	대관	대극장	2023.11.08 01시	전남동부극동방송 여성합창단 제3회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1041	1027	대관	소극장	2023.11.08 01시	제8회 애양청소년오케스트라 from 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1040	1026	기획	소극장	2023.11.02 13시	2023 지역예술인페스티벌	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1039	1025	기획	소극장	2023.11.03 01시	연극 <옥탑방 고양이>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1038	1024	대관	대극장	01시	제9회 여수학생오케스트라 페스티벌	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1037	1023	대관	대극장	2023.10.24 01시	2023. 제10회 전남학교예술페스티벌	2	0	0	50	50	0	0	0	0	100	0	0	0	0
1036	1022	대관	소극장	2023.10.24 01시	파파스중창단 10주년 기념연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1035	1021	대관	소극장	2023.10.19 01시	여수시민오케스트라 제7회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1034	1020	대관	대극장	2023.10.16 01시	송승환의 오리지널［난타］- 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1033	1019	대관	소극장	2023.10.17 01시	PROJECT OCTET STRING ENSEMBLE	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1032	1018	기획	대극장	2023.10.18 14시	브런치콘서트 'Christmas Classic'	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	1017	대관	대극장	2023.10.13 01시	제 12회 한독국제교류유진청소년정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1030	1016	대관	대극장	2023.10.13 01시	손양원목사순교73주년기념콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1029	1015	대관	소극장	2023.10.13 01시	CJ도너스캠프와 전라남도교육청이 함께하는 창의학교 전남 졸업무대	0	0	0	0	0	0	0	0	0	0	0	0	0	0
